week,agegroup,state,value
14,18-29,vaccinated,30.71591547
14,30-49,vaccinated,29.60357639
14,50-64,vaccinated,24.80559491
14,65-79,vaccinated,13.08491179
14,80+,vaccinated,17.98828034
15,18-29,vaccinated,29.50215265
15,30-49,vaccinated,28.39392692
15,50-64,vaccinated,24.14027573
15,65-79,vaccinated,12.98327975
15,80+,vaccinated,19.36053315
16,18-29,vaccinated,25.90318375
16,30-49,vaccinated,26.84869253
16,50-64,vaccinated,20.18614571
16,65-79,vaccinated,11.84604515
16,80+,vaccinated,16.85997403
17,18-29,vaccinated,22.59785349
17,30-49,vaccinated,22.82609383
17,50-64,vaccinated,16.40065646
17,65-79,vaccinated,11.02191837
17,80+,vaccinated,17.60315542
18,18-29,vaccinated,16.33832242
18,30-49,vaccinated,16.58032686
18,50-64,vaccinated,12.17192342
18,65-79,vaccinated,9.018212825
18,80+,vaccinated,15.03057678
19,18-29,vaccinated,11.65854792
19,30-49,vaccinated,11.68533492
19,50-64,vaccinated,9.314983813
19,65-79,vaccinated,8.224478462
19,80+,vaccinated,12.86168759
20,18-29,vaccinated,8.076433494
20,30-49,vaccinated,9.802663635
20,50-64,vaccinated,7.80951059
20,65-79,vaccinated,7.061994518
20,80+,vaccinated,11.43014183
21,18-29,vaccinated,6.295768581
21,30-49,vaccinated,7.43175541
21,50-64,vaccinated,6.096236794
21,65-79,vaccinated,5.639173613
21,80+,vaccinated,10.11783976
22,18-29,vaccinated,4.952130395
22,30-49,vaccinated,6.230399491
22,50-64,vaccinated,5.403912049
22,65-79,vaccinated,5.107399955
22,80+,vaccinated,8.494213166
23,18-29,vaccinated,5.204098853
23,30-49,vaccinated,5.916544243
23,50-64,vaccinated,5.451443671
23,65-79,vaccinated,4.887559485
23,80+,vaccinated,8.361931218
24,18-29,vaccinated,5.28888367
24,30-49,vaccinated,6.160183437
24,50-64,vaccinated,5.467606661
24,65-79,vaccinated,5.352491453
24,80+,vaccinated,8.686910421
25,18-29,vaccinated,6.561396325
25,30-49,vaccinated,8.246320486
25,50-64,vaccinated,6.461290632
25,65-79,vaccinated,6.559866159
25,80+,vaccinated,9.297050706
26,18-29,vaccinated,9.415007786
26,30-49,vaccinated,12.77977237
26,50-64,vaccinated,9.125397945
26,65-79,vaccinated,8.520545027
26,80+,vaccinated,11.76495779
27,18-29,vaccinated,16.84621409
27,30-49,vaccinated,19.63482657
27,50-64,vaccinated,14.73551639
27,65-79,vaccinated,13.43782308
27,80+,vaccinated,16.82981587
28,18-29,vaccinated,30.09344333
28,30-49,vaccinated,36.33605904
28,50-64,vaccinated,26.88479225
28,65-79,vaccinated,24.02991439
28,80+,vaccinated,29.8190967
29,18-29,vaccinated,51.65892622
29,30-49,vaccinated,61.5852904
29,50-64,vaccinated,48.23412393
29,65-79,vaccinated,44.07683823
29,80+,vaccinated,51.63773205
30,18-29,vaccinated,87.08836863
30,30-49,vaccinated,93.4062353
30,50-64,vaccinated,72.62417941
30,65-79,vaccinated,68.6552315
30,80+,vaccinated,80.38525395
31,18-29,vaccinated,107.6141154
31,30-49,vaccinated,117.7368122
31,50-64,vaccinated,96.10678942
31,65-79,vaccinated,89.9121076
31,80+,vaccinated,104.1028057
32,18-29,vaccinated,111.4146632
32,30-49,vaccinated,133.8429922
32,50-64,vaccinated,107.4176056
32,65-79,vaccinated,102.8089378
