month,week,bidding_no,agegroup,vehicle_class,state,premium,value
2010-01,14,1,18-29,Category A,vaccinated,18502,30.71591547
2010-01,14,2,30-49,Category A,vaccinated,20501,29.60357639
2010-01,14,3,50-64,Category A,vaccinated,18502,24.80559491
2010-01,14,4,65-79,Category A,vaccinated,20501,13.08491179
2010-01,14,5,80+,Category A,vaccinated,18502,17.98828034
2010-02,15,1,18-29,Category A,vaccinated,19989,29.50215265
2010-02,15,2,30-49,Category A,vaccinated,20340,28.39392692
2010-02,15,3,50-64,Category A,vaccinated,19989,24.14027573
2010-02,15,4,65-79,Category A,vaccinated,20340,12.98327975
2010-02,15,5,80+,Category A,vaccinated,19989,19.36053315
2010-03,16,1,18-29,Category A,vaccinated,20802,25.90318375
2010-03,16,2,30-49,Category A,vaccinated,28389,26.84869253
2010-03,16,3,50-64,Category A,vaccinated,20802,20.18614571
2010-03,16,4,65-79,Category A,vaccinated,28389,11.84604515
2010-03,16,5,80+,Category A,vaccinated,20802,16.85997403
2010-04,17,1,18-29,Category A,vaccinated,34001,22.59785349
2010-04,17,2,30-49,Category A,vaccinated,30000,22.82609383
2010-04,17,3,50-64,Category A,vaccinated,34001,16.40065646
2010-04,17,4,65-79,Category A,vaccinated,30000,11.02191837
2010-04,17,5,80+,Category A,vaccinated,34001,17.60315542
2010-05,18,1,18-29,Category A,vaccinated,26102,16.33832242
2010-05,18,2,30-49,Category A,vaccinated,27389,16.58032686
2010-05,18,3,50-64,Category A,vaccinated,26102,12.17192342
2010-05,18,4,65-79,Category A,vaccinated,27389,9.018212825
2010-05,18,5,80+,Category A,vaccinated,26102,15.03057678
2010-06,19,1,18-29,Category A,vaccinated,29501,11.65854792
2010-06,19,2,30-49,Category A,vaccinated,31510,11.68533492
2010-06,19,3,50-64,Category A,vaccinated,29501,9.314983813
2010-06,19,4,65-79,Category A,vaccinated,31510,8.224478462
2010-06,19,5,80+,Category A,vaccinated,29501,12.86168759
2010-07,20,1,18-29,Category A,vaccinated,29501,8.076433494
2010-07,20,2,30-49,Category A,vaccinated,36162,9.802663635
2010-07,20,3,50-64,Category A,vaccinated,29501,7.80951059
2010-07,20,4,65-79,Category A,vaccinated,36162,7.061994518
2010-07,20,5,80+,Category A,vaccinated,29501,11.43014183
2010-08,21,1,18-29,Category A,vaccinated,32104,6.295768581
2010-08,21,2,30-49,Category A,vaccinated,29000,7.43175541
2010-08,21,3,50-64,Category A,vaccinated,32104,6.096236794
2010-08,21,4,65-79,Category A,vaccinated,29000,5.639173613
2010-08,21,5,80+,Category A,vaccinated,32104,10.11783976
2010-09,22,1,18-29,Category A,vaccinated,33089,4.952130395
2010-09,22,2,30-49,Category A,vaccinated,30001,6.230399491
2010-09,22,3,50-64,Category A,vaccinated,33089,5.403912049
2010-09,22,4,65-79,Category A,vaccinated,30001,5.107399955
2010-09,22,5,80+,Category A,vaccinated,33089,8.494213166
2010-10,23,1,18-29,Category A,vaccinated,33132,5.204098853
2010-10,23,2,30-49,Category A,vaccinated,32415,5.916544243
2010-10,23,3,50-64,Category A,vaccinated,33132,5.451443671
2010-10,23,4,65-79,Category A,vaccinated,32415,4.887559485
2010-10,23,5,80+,Category A,vaccinated,33132,8.361931218
2010-11,24,1,18-29,Category A,vaccinated,34001,5.28888367
2010-11,24,2,30-49,Category A,vaccinated,39000,6.160183437
2010-11,24,3,50-64,Category A,vaccinated,34001,5.467606661
2010-11,24,4,65-79,Category A,vaccinated,39000,5.352491453
2010-11,24,5,80+,Category A,vaccinated,34001,8.686910421
2010-12,25,1,18-29,Category A,vaccinated,47604,6.561396325
2010-12,25,2,30-49,Category A,vaccinated,46129,8.246320486
2010-12,25,3,50-64,Category A,vaccinated,47604,6.461290632
2010-12,25,4,65-79,Category A,vaccinated,46129,6.559866159
2010-12,25,5,80+,Category A,vaccinated,47604,9.297050706
2011-01,26,1,18-29,Category A,vaccinated,38889,9.415007786
2011-01,26,2,30-49,Category A,vaccinated,40123,12.77977237
2011-01,26,3,50-64,Category A,vaccinated,38889,9.125397945
2011-01,26,4,65-79,Category A,vaccinated,40123,8.520545027
2011-01,26,5,80+,Category A,vaccinated,38889,11.76495779
2011-02,27,1,18-29,Category A,vaccinated,37124,16.84621409
2011-02,27,2,30-49,Category A,vaccinated,42999,19.63482657
2011-02,27,3,50-64,Category A,vaccinated,37124,14.73551639
2011-02,27,4,65-79,Category A,vaccinated,42999,13.43782308
2011-02,27,5,80+,Category A,vaccinated,37124,16.82981587
2011-03,28,1,18-29,Category A,vaccinated,42600,30.09344333
2011-03,28,2,30-49,Category A,vaccinated,43813,36.33605904
2011-03,28,3,50-64,Category A,vaccinated,42600,26.88479225
