month,week,weekofyear,bidding_no,group_no,agegroup,vehicle_class,state,premium,value
2010-01,14,2021-14,1,1,18-29,Category A,vaccinated,18502,31
2010-01,14,2021-14,2,2,30-49,Category A,vaccinated,20501,30
2010-01,14,2021-14,3,3,50-64,Category A,vaccinated,18502,25
2010-01,14,2021-14,4,4,65-79,Category A,vaccinated,20501,13
2010-01,14,2021-14,5,5,80+,Category A,vaccinated,18502,18
2010-02,15,2021-15,1,1,18-29,Category A,vaccinated,19989,30
2010-02,15,2021-15,2,2,30-49,Category A,vaccinated,20340,28
2010-02,15,2021-15,3,3,50-64,Category A,vaccinated,19989,24
2010-02,15,2021-15,4,4,65-79,Category A,vaccinated,20340,13
2010-02,15,2021-15,5,5,80+,Category A,vaccinated,19989,19
2010-03,16,2021-16,1,1,18-29,Category A,vaccinated,20802,26
2010-03,16,2021-16,2,2,30-49,Category A,vaccinated,28389,27
2010-03,16,2021-16,3,3,50-64,Category A,vaccinated,20802,20
2010-03,16,2021-16,4,4,65-79,Category A,vaccinated,28389,12
2010-03,16,2021-16,5,5,80+,Category A,vaccinated,20802,17
2010-04,17,2021-17,1,1,18-29,Category A,vaccinated,34001,23
2010-04,17,2021-17,2,2,30-49,Category A,vaccinated,30000,23
2010-04,17,2021-17,3,3,50-64,Category A,vaccinated,34001,16
2010-04,17,2021-17,4,4,65-79,Category A,vaccinated,30000,11
2010-04,17,2021-17,5,5,80+,Category A,vaccinated,34001,18
2010-05,18,2021-18,1,1,18-29,Category A,vaccinated,26102,16
2010-05,18,2021-18,2,2,30-49,Category A,vaccinated,27389,17
2010-05,18,2021-18,3,3,50-64,Category A,vaccinated,26102,12
2010-05,18,2021-18,4,4,65-79,Category A,vaccinated,27389,9
2010-05,18,2021-18,5,5,80+,Category A,vaccinated,26102,15
2010-06,19,2021-19,1,1,18-29,Category A,vaccinated,29501,12
2010-06,19,2021-19,2,2,30-49,Category A,vaccinated,31510,12
2010-06,19,2021-19,3,3,50-64,Category A,vaccinated,29501,9
2010-06,19,2021-19,4,4,65-79,Category A,vaccinated,31510,8
2010-06,19,2021-19,5,5,80+,Category A,vaccinated,29501,13
2010-07,20,2021-20,1,1,18-29,Category A,vaccinated,29501,8
2010-07,20,2021-20,2,2,30-49,Category A,vaccinated,36162,10
2010-07,20,2021-20,3,3,50-64,Category A,vaccinated,29501,8
2010-07,20,2021-20,4,4,65-79,Category A,vaccinated,36162,7
2010-07,20,2021-20,5,5,80+,Category A,vaccinated,29501,11
2010-08,21,2021-21,1,1,18-29,Category A,vaccinated,32104,6
2010-08,21,2021-21,2,2,30-49,Category A,vaccinated,29000,7
2010-08,21,2021-21,3,3,50-64,Category A,vaccinated,32104,6
2010-08,21,2021-21,4,4,65-79,Category A,vaccinated,29000,6
2010-08,21,2021-21,5,5,80+,Category A,vaccinated,32104,10
