month,week,weekofyear,group_no,agegroup,state,value
2010-01,14,2021-14,1,18-29,vaccinated,31
2010-01,14,2021-14,2,30-49,vaccinated,30
2010-01,14,2021-14,3,50-64,vaccinated,25
2010-01,14,2021-14,4,65-79,vaccinated,13
2010-01,14,2021-14,5,80+,vaccinated,18
2010-02,15,2021-15,1,18-29,vaccinated,30
2010-02,15,2021-15,2,30-49,vaccinated,28
2010-02,15,2021-15,3,50-64,vaccinated,24
2010-02,15,2021-15,4,65-79,vaccinated,13
2010-02,15,2021-15,5,80+,vaccinated,19
2010-03,16,2021-16,1,18-29,vaccinated,26
2010-03,16,2021-16,2,30-49,vaccinated,27
2010-03,16,2021-16,3,50-64,vaccinated,20
2010-03,16,2021-16,4,65-79,vaccinated,12
2010-03,16,2021-16,5,80+,vaccinated,17
2010-04,17,2021-17,1,18-29,vaccinated,23
2010-04,17,2021-17,2,30-49,vaccinated,23
2010-04,17,2021-17,3,50-64,vaccinated,16
2010-04,17,2021-17,4,65-79,vaccinated,11
2010-04,17,2021-17,5,80+,vaccinated,18
2010-05,18,2021-18,1,18-29,vaccinated,16
2010-05,18,2021-18,2,30-49,vaccinated,17
2010-05,18,2021-18,3,50-64,vaccinated,12
2010-05,18,2021-18,4,65-79,vaccinated,9
2010-05,18,2021-18,5,80+,vaccinated,15
2010-06,19,2021-19,1,18-29,vaccinated,12
2010-06,19,2021-19,2,30-49,vaccinated,12
2010-06,19,2021-19,3,50-64,vaccinated,9
2010-06,19,2021-19,4,65-79,vaccinated,8
2010-06,19,2021-19,5,80+,vaccinated,13
2010-07,20,2021-20,1,18-29,vaccinated,8
2010-07,20,2021-20,2,30-49,vaccinated,10
2010-07,20,2021-20,3,50-64,vaccinated,8
2010-07,20,2021-20,4,65-79,vaccinated,7
2010-07,20,2021-20,5,80+,vaccinated,11
2010-08,21,2021-21,1,18-29,vaccinated,6
2010-08,21,2021-21,2,30-49,vaccinated,7
2010-08,21,2021-21,3,50-64,vaccinated,6
2010-08,21,2021-21,4,65-79,vaccinated,6
2010-08,21,2021-21,5,80+,vaccinated,10
2010-09,22,2021-22,1,18-29,vaccinated,5
2010-09,22,2021-22,2,30-49,vaccinated,6
2010-09,22,2021-22,3,50-64,vaccinated,5
2010-09,22,2021-22,4,65-79,vaccinated,5
2010-09,22,2021-22,5,80+,vaccinated,8
2010-10,23,2021-23,1,18-29,vaccinated,5
2010-10,23,2021-23,2,30-49,vaccinated,6
2010-10,23,2021-23,3,50-64,vaccinated,5
2010-10,23,2021-23,4,65-79,vaccinated,5
2010-10,23,2021-23,5,80+,vaccinated,8
2010-11,24,2021-24,1,18-29,vaccinated,5
2010-11,24,2021-24,2,30-49,vaccinated,6
2010-11,24,2021-24,3,50-64,vaccinated,5
2010-11,24,2021-24,4,65-79,vaccinated,5
2010-11,24,2021-24,5,80+,vaccinated,9
2010-12,25,2021-25,1,18-29,vaccinated,7
2010-12,25,2021-25,2,30-49,vaccinated,8
2010-12,25,2021-25,3,50-64,vaccinated,6
2010-12,25,2021-25,4,65-79,vaccinated,7
2010-12,25,2021-25,5,80+,vaccinated,9
2011-01,26,2021-26,1,18-29,vaccinated,9
2011-01,26,2021-26,2,30-49,vaccinated,13
2011-01,26,2021-26,3,50-64,vaccinated,9
2011-01,26,2021-26,4,65-79,vaccinated,9
2011-01,26,2021-26,5,80+,vaccinated,12
2011-02,27,2021-27,1,18-29,vaccinated,17
2011-02,27,2021-27,2,30-49,vaccinated,20
2011-02,27,2021-27,3,50-64,vaccinated,15
2011-02,27,2021-27,4,65-79,vaccinated,13
2011-02,27,2021-27,5,80+,vaccinated,17
2011-03,28,2021-28,1,18-29,vaccinated,30
2011-03,28,2021-28,2,30-49,vaccinated,36
2011-03,28,2021-28,3,50-64,vaccinated,27
2011-03,28,2021-28,4,65-79,vaccinated,24
2011-03,28,2021-28,5,80+,vaccinated,30
2011-04,29,2021-29,1,18-29,vaccinated,52
2011-04,29,2021-29,2,30-49,vaccinated,62
2011-04,29,2021-29,3,50-64,vaccinated,48
2011-04,29,2021-29,4,65-79,vaccinated,44
2011-04,29,2021-29,5,80+,vaccinated,52
2011-05,30,2021-30,1,18-29,vaccinated,87
2011-05,30,2021-30,2,30-49,vaccinated,93
2011-05,30,2021-30,3,50-64,vaccinated,73
2011-05,30,2021-30,4,65-79,vaccinated,69
2011-05,30,2021-30,5,80+,vaccinated,80
2011-06,31,2021-31,1,18-29,vaccinated,108
2011-06,31,2021-31,2,30-49,vaccinated,118
2011-06,31,2021-31,3,50-64,vaccinated,96
2011-06,31,2021-31,4,65-79,vaccinated,90
2011-06,31,2021-31,5,80+,vaccinated,104
2011-07,32,2021-32,1,18-29,vaccinated,111
2011-07,32,2021-32,2,30-49,vaccinated,134
2011-07,32,2021-32,3,50-64,vaccinated,107
2011-07,32,2021-32,4,65-79,vaccinated,103
2011-07,32,2021-32,5,80+,vaccinated,120
2011-08,33,2021-33,1,18-29,vaccinated,118
2011-08,33,2021-33,2,30-49,vaccinated,145
2011-08,33,2021-33,3,50-64,vaccinated,117
2011-08,33,2021-33,4,65-79,vaccinated,111
2011-08,33,2021-33,5,80+,vaccinated,129
