week,agegroup,state,value
14,18-29,vaccinated,0.0
14,30-49,vaccinated,0.098901697
14,50-64,vaccinated,0.25072593
14,65-79,vaccinated,0.683922799
14,80+,vaccinated,1.810111861
15,18-29,vaccinated,0.0
15,30-49,vaccinated,0.0558861
15,50-64,vaccinated,0.24482651
15,65-79,vaccinated,0.431816698
15,80+,vaccinated,2.695171202
16,18-29,vaccinated,0.0
16,30-49,vaccinated,0.0449736
16,50-64,vaccinated,0.203482925
16,65-79,vaccinated,0.379150344
16,80+,vaccinated,2.175685537
17,18-29,vaccinated,0.0
17,30-49,vaccinated,0.018089
17,50-64,vaccinated,0.156762484
17,65-79,vaccinated,0.437065984
17,80+,vaccinated,2.013344722
18,18-29,vaccinated,0.0
18,30-49,vaccinated,0.0151553
18,50-64,vaccinated,0.199125674
18,65-79,vaccinated,0.378349564
18,80+,vaccinated,1.626292031
19,18-29,vaccinated,0.0
19,30-49,vaccinated,0.0254154
19,50-64,vaccinated,0.0614333
19,65-79,vaccinated,0.308756002
19,80+,vaccinated,1.463288054
20,18-29,vaccinated,0.0261206
20,30-49,vaccinated,0.0
20,50-64,vaccinated,0.093254371
20,65-79,vaccinated,0.376338755
20,80+,vaccinated,1.022936473
21,18-29,vaccinated,0.0
21,30-49,vaccinated,0.0
21,50-64,vaccinated,0.121981556
21,65-79,vaccinated,0.258136414
21,80+,vaccinated,0.976672031
22,18-29,vaccinated,0.0
22,30-49,vaccinated,0.0088628
22,50-64,vaccinated,0.12420083
22,65-79,vaccinated,0.208492479
22,80+,vaccinated,1.088995175
23,18-29,vaccinated,0.0
23,30-49,vaccinated,0.0083379
23,50-64,vaccinated,0.0478508
23,65-79,vaccinated,0.223608996
23,80+,vaccinated,0.954634829
24,18-29,vaccinated,0.0
24,30-49,vaccinated,0.0321138
24,50-64,vaccinated,0.070092153
24,65-79,vaccinated,0.194994854
24,80+,vaccinated,1.284487731
25,18-29,vaccinated,0.0
25,30-49,vaccinated,0.00776353
25,50-64,vaccinated,0.099219516
25,65-79,vaccinated,0.298955266
25,80+,vaccinated,1.398036488
26,18-29,vaccinated,0.0
26,30-49,vaccinated,0.0225566
26,50-64,vaccinated,0.089889485
26,65-79,vaccinated,0.279316418
26,80+,vaccinated,1.178712453
27,18-29,vaccinated,0.0
27,30-49,vaccinated,0.0441308
27,50-64,vaccinated,0.147861243
27,65-79,vaccinated,0.486221608
27,80+,vaccinated,2.167491718
28,18-29,vaccinated,0.0
28,30-49,vaccinated,0.0578463
28,50-64,vaccinated,0.204955322
28,65-79,vaccinated,0.873426492
28,80+,vaccinated,3.841307197
29,18-29,vaccinated,0.0
29,30-49,vaccinated,0.071379508
29,50-64,vaccinated,0.384964674
29,65-79,vaccinated,1.697952227
29,80+,vaccinated,6.076774508
30,18-29,vaccinated,0.0142726
30,30-49,vaccinated,0.204278076
30,50-64,vaccinated,0.583680046
30,65-79,vaccinated,2.301920987
30,80+,vaccinated,10.06095386
31,18-29,vaccinated,0.0140363
31,30-49,vaccinated,0.146173786
31,50-64,vaccinated,0.772488702
31,65-79,vaccinated,2.82537101
31,80+,vaccinated,13.3410799
32,18-29,vaccinated,0.0276475
32,30-49,vaccinated,0.117028017
32,50-64,vaccinated,0.909095235
32,65-79,vaccinated,3.422783206
32,80+,vaccinated,15.44995774
33,18-29,vaccinated,0.0
33,30-49,vaccinated,0.122531251
33,50-64,vaccinated,0.951962693
33,65-79,vaccinated,3.25055702
33,80+,vaccinated,15.68119217
34,18-29,vaccinated,0.0
34,30-49,vaccinated,0.10082596
34,50-64,vaccinated,0.741391673
34,65-79,vaccinated,3.349529226
34,80+,vaccinated,15.02091988
35,18-29,vaccinated,0.0131172
35,30-49,vaccinated,0.132291362
35,50-64,vaccinated,0.630905291
35,65-79,vaccinated,2.928444353
35,80+,vaccinated,11.19786992
36,18-29,vaccinated,0.0
36,30-49,vaccinated,0.116829512
36,50-64,vaccinated,0.789630815
36,65-79,vaccinated,2.860584802
36,80+,vaccinated,12.82695721
37,18-29,vaccinated,0.01251
37,30-49,vaccinated,0.114573866
37,50-64,vaccinated,0.673052507
37,65-79,vaccinated,2.382366187
37,80+,vaccinated,10.46883637
38,18-29,vaccinated,0.0
38,30-49,vaccinated,0.106496226
38,50-64,vaccinated,0.478876553
38,65-79,vaccinated,1.839036885
38,80+,vaccinated,9.244699081
39,18-29,vaccinated,0.0
39,30-49,vaccinated,0.110715535
39,50-64,vaccinated,0.394424812
