Week,VaxIR,UnvacxIR
14,30.71591547,282.5380562
15,29.50215265,284.6751694
16,25.90318375,226.5044166
17,22.59785349,212.3786753
18,16.33832242,171.9794728
19,11.65854792,145.3525959
20,8.076433494,111.1827207
21,6.295768581,81.54191106
22,4.952130395,65.77209562
23,5.204098853,59.76499552
24,5.28888367,63.30788004
25,6.561396325,66.8828888
26,9.415007786,92.04047575
27,16.84621409,142.1666008
28,30.09344333,237.6996526
29,51.65892622,371.0678861
30,87.08836863,550.8426827
31,107.6141154,659.3951075
32,111.4146632,715.9349974
33,117.9954772,726.2428255
34,131.8124208,739.981148
35,131.1874248,688.3271535
36,125.5119344,610.8761276
37,110.9032255,536.1042676
38,86.08875124,424.7041043
39,79.6947461,361.8212946
