Week,VaxIR,UnvacxIR
14,17.98828034,152.6171374
15,19.36053315,152.0969281
16,16.85997403,142.0591426
17,17.60315542,126.7321449
18,15.03057678,113.3784609
19,12.86168759,119.8918148
20,11.43014183,85.67315554
21,10.11783976,66.39447955
22,8.494213166,55.54939909
23,8.361931218,47.71465353
24,8.686910421,54.21771328
25,9.297050706,48.31202156
26,11.76495779,66.28841982
27,16.82981587,83.1846138
28,29.8190967,132.0009365
29,51.63773205,203.1019756
30,80.38525395,300.6721443
31,104.1028057,383.344797
32,120.4932214,451.1500109
33,129.071145,472.560879
34,129.5453771,468.5865139
35,120.7998631,426.1883596
36,120.0093951,410.6521685
37,116.222091,360.9456626
38,104.9400971,305.4908969
39,100.7545348,275.6398005
