Week,VaxIR,UnvacxIR
14,0.098901697,0.710066996
15,0.0558861,0.691376602
16,0.0449736,0.693773341
17,0.018089,0.626664012
18,0.0151553,0.533829133
19,0.0254154,0.506960079
20,0,0.404999841
21,0,0.397359253
22,0.0088628,0.313632712
23,0.0083379,0.425629436
24,0.0321138,0.290757233
25,0.00776353,0.432442881
26,0.0225566,0.543259852
27,0.0441308,1.001215843
28,0.0578463,1.572671094
29,0.071379508,2.602742156
30,0.204278076,3.849970816
31,0.146173786,4.764851499
32,0.117028017,5.56654108
33,0.122531251,5.447380032
34,0.10082596,4.50592872
35,0.132291362,4.123964278
36,0.116829512,4.132229936
37,0.114573866,3.405571205
38,0.106496226,2.535155079
39,0.110715535,1.672790782
