time,VaxIR,UnvacxIR
14,0.683922799,14.34556807
15,0.431816698,16.1406301
16,0.379150344,15.80806629
17,0.437065984,13.39236574
18,0.378349564,13.33135927
19,0.308756002,11.01051587
20,0.376338755,10.04609813
21,0.258136414,9.224438422
22,0.208492479,7.231829936
23,0.223608996,6.110880256
24,0.194994854,7.237856705
25,0.298955266,7.744041784
26,0.279316418,8.723814924
27,0.486221608,13.1083695
28,0.873426492,21.818386
29,1.697952227,33.47936558
30,2.301920987,48.41269205
31,2.82537101,60.75673075
32,3.422783206,72.76232235
33,3.25055702,75.46373721
34,3.349529226,70.85618449
35,2.928444353,63.07253787
36,2.860584802,57.88029606
37,2.382366187,49.3304122
38,1.839036885,37.55205058
39,1.567832263,31.86839452
