time,VaxIR,UnvacxIR
14,1.810111861,31.84367032
15,2.695171202,34.05469169
16,2.175685537,32.32141648
17,2.013344722,30.48076259
18,1.626292031,25.01348447
19,1.463288054,21.39790783
20,1.022936473,16.48156062
21,0.976672031,15.80851483
22,1.088995175,11.78910599
23,0.954634829,9.441520808
24,1.284487731,12.64931988
25,1.398036488,11.23575307
26,1.178712453,14.86138586
27,2.167491718,18.79393996
28,3.841307197,29.33368399
29,6.076774508,52.16798835
30,10.06095386,62.70706493
31,13.3410799,82.19222492
32,15.44995774,87.50750582
33,15.68119217,92.67895129
34,15.02091988,79.97891103
35,11.19786992,76.71046186
36,12.82695721,62.50477184
37,10.46883637,55.52613584
38,9.244699081,43.0690932
39,6.507856881,38.28390796
